name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,"mean(d,e,v)",mood_final
Summer Boredom,Solo Piano,Ella van der Woude,1B96GJer0xmo0t9rZg5V4c,2/14/2020,0.32954545454545453,0.28942672554318993,0.496,0.994,0.0281,0.951,0.0813,0.157,0.591746394402399,0.0372,0.3309199357650837,0.18181818181818182,0.6,Sad,0.227033333,2
Summer-Blink,Treasure Hiding: The Fontana Years,Cocteau Twins,66epoq09V61hukB4Sdm3Q4,10/5/2018,0.25,0.3658620337093174,0.491,0.168,0.599,0.0,0.166,0.189,0.16043124375267742,0.0274,0.3672768983711861,0.45454545454545453,0.8,Sad,0.426333333,1
Sun In Our Eyes - Don Diablo Remix,Sun In Our Eyes (Don Diablo Remix),MØ,1Cfws8y490Zpsqsyeme6V1,8/8/2018,0.625,0.3982691999776223,0.699,0.0589,0.861,2.64e-06,0.0794,0.315,0.07353991146651434,0.173,0.5778481303051158,0.36363636363636365,0.6,Happy,0.625,0
Sunspots,Comforter,Bodywash,2yNeqUczAqpKSo8vFF00CR,8/30/2019,0.07954545454545454,0.5463826240950049,0.379,0.00565,0.499,0.125,0.077,0.335,0.3313579894331001,0.0411,0.7157283780683643,0.36363636363636365,0.8,Sad,0.404333333,1
Supermarket,Manuela,Manuela,2K1OMOjqHBoJf3NT4J6meQ,4/21/2017,0.19318181818181818,0.43352373676869743,0.588,0.812,0.352,0.0564,0.126,0.655,0.2290446951306583,0.0403,0.6731727460426703,0.9090909090909091,0.8,Happy,0.531666667,0
Supersonic (feat. Christian Burns),Supersonic (feat. Christian Burns),Swanky Tunes,2d0UsAbvuAiCyR4oV6fiOq,2/18/2019,0.5909090909090909,0.474143136313041,0.34,0.00814,0.923,0.000829,0.385,0.13,0.09196058831929173,0.131,0.5863225510438175,0.0,0.8,Happy,0.464333333,1
Superstition,Number 1's,Stevie Wonder,4dwrL3Z5U2RZ6MZiKE2PgL,1/1/2007,0.011363636363636364,0.47229697534400905,0.648,0.0182,0.751,0.000401,0.0418,0.863,0.20424579941929652,0.0806,0.4608258774948383,0.7272727272727273,0.8,Happy,0.754,3
Surrender,Surrender,Natalie Taylor,0ecC8p17cDNlxHXkuYqeR6,10/29/2019,0.9545454545454546,0.3532263447363192,0.39,0.8,0.448,0.182,0.107,0.077,0.20396020753010616,0.0276,0.6647855012617573,0.45454545454545453,1.0,Sad,0.305,2
Swerve City,Koi No Yokan,Deftones,2OUR8g12h5qsGDs1v5lqvp,11/9/2012,0.625,0.31827660777085226,0.457,0.0001,0.964,0.00811,0.67,0.372,0.07051739730591651,0.0656,0.5137508602890571,0.9090909090909091,0.8,Happy,0.597666667,0
Take Everything,Take Everything,Gareth Emery,2L93hpsnJ8scBHIQFZzh1b,12/14/2018,0.6136363636363636,0.4094310467559074,0.506,0.0234,0.823,0.000916,0.303,0.405,0.12547003665095913,0.0424,0.614608855242028,0.5454545454545454,0.8,Happy,0.578,0
